,University of South Carolina-Columbia,Columbia,44,70,71,66,67,56,55,44,649,18,100,290,111,25,10,26,238,394,27,20,48,24,79,185,193,153,101,140,85,408,799,698,63,31,Columbia,www.sc.edu/,1,SC,1,12,2,1,26288,45716,10617,15121,7150,9460,91,4482,13529,11708,23755,1482,73,945,3392,1332,34,24886,1104,413,1545,74,73,54,87,5417,11,135,536,252,2,4192,185,40,64,46900,84700,1110,1290,25,30,0.110554134,0.497416468,0.440752963,0.458751788,0.816262903,0.043820555,0.463605469,201,0.604624881,0.484707352
,University of South Carolina-Columbia,Columbia,65,57,46,61,60,77,56,42,637,33,100,290,111,25,10,26,238,394,27,20,48,24,79,185,193,153,101,140,85,408,799,698,63,31,Columbia,www.sc.edu/,1,SC,1,12,2,1,26288,45716,10617,15121,7150,9460,91,4482,13529,11708,23755,1482,73,945,3392,1332,34,24886,1104,413,1545,74,73,54,87,5417,11,135,536,252,2,4192,185,40,64,46900,84700,1110,1290,25,30,0.110554134,0.497416468,0.440752963,0.458751788,0.816262903,0.043820555,0.463605469,201,0.604624881,0.484707352
,University of South Carolina-Columbia,Columbia,65,57,46,61,60,77,56,42,637,33,100,290,111,25,10,26,238,394,27,20,48,24,79,185,193,153,101,140,85,408,799,698,63,31,Columbia,www.sc.edu/,1,SC,1,12,2,1,26288,45716,10617,15121,7150,9460,91,4482,13529,11708,23755,1482,73,945,3392,1332,34,24886,1104,413,1545,74,73,54,87,5417,11,135,536,252,2,4192,185,40,64,46900,84700,1110,1290,25,30,0.110554134,0.497416468,0.440752963,0.458751788,0.816262903,0.043820555,0.463605469,201,0.604624881,0.484707352
,University of South Carolina-Columbia,Columbia,65,57,46,61,60,77,56,42,637,33,100,290,111,25,10,26,238,394,27,20,48,24,79,185,193,153,101,140,85,408,799,698,63,31,Columbia,www.sc.edu/,1,SC,1,12,2,1,26288,45716,10617,15121,7150,9460,91,4482,13529,11708,23755,1482,73,945,3392,1332,34,24886,1104,413,1545,74,73,54,87,5417,11,135,536,252,2,4192,185,40,64,46900,84700,1110,1290,25,30,0.110554134,0.497416468,0.440752963,0.458751788,0.816262903,0.043820555,0.463605469,201,0.604624881,0.484707352
,University of South Carolina-Columbia,Columbia,65,57,46,61,60,77,56,42,637,33,100,290,111,25,10,26,238,394,27,20,48,24,79,185,193,153,101,140,85,408,799,698,63,31,Columbia,www.sc.edu/,1,SC,1,12,2,1,26288,45716,10617,15121,7150,9460,91,4482,13529,11708,23755,1482,73,945,3392,1332,34,24886,1104,413,1545,74,73,54,87,5417,11,135,536,252,2,4192,185,40,64,46900,84700,1110,1290,25,30,0.110554134,0.497416468,0.440752963,0.458751788,0.816262903,0.043820555,0.463605469,201,0.604624881,0.484707352
149,Montana State University,Bozeman,66,79,26,56,72,65,43,54,634,42,42.56429652,80.27836611,50,5,7,19,98,75,15,8,52,23,24,56,72,56,64,77,24,195,128,94,19,16,Bozeman,www.montana.edu/,1,MT,1,33,2,1,20467,36766,7311,7505,6383,5894,85,2073,6129,7504,11737,1891,247,125,94,533,26,12857,471,180,703,53,49,20,76,2282,31,19,7,70,0,1960,76,36,83,50900,92000,1510,1880,62,83,0.239026608,0.494950116,0.284059113,0.458642385,0.884670673,0.07869402,0.459457277,122,0.608630725,0.499948018
,University of California-Santa Barbara,Santa Barbara,73,54,52,49,61,55,49,53,613,82,71,286,73,19,43,110,288,275,146,89,180,67,193,416,680,672,96,179,36.87304075,182.1128527,34,21,65,46,Santa Barbara,www.ucsb.edu,1,CA,1,22,2,1,35172,61854,32874,37662,9858,13168,70,3287,10886,9721,20143,464,48,4215,494,5532,32,8530,1759,734,2153,82,81,68,93,5235,5,971,123,1218,7,2014,410,175,312,54900,118800,1600,1990,78,96,0.044021381,0.49842613,0.770814598,0.432336243,0.839333488,0.088204321,0.462192689,231,0.294179766,0.497703193
527,University of Alaska Anchorage,Anchorage,65,58,44,59,71,64,50,44,626,54,13,6,18,0,7,14,19,26,8,8,12,10,13,66,28,34,13,22,29,149,120,123,16,16,Anchorage,www.uaa.alaska.edu,1,AK,1,11,2,1,25098,37304,1690,2085,1204,1461,79,1100,9160,6757,8989,6925,1037,1219,562,1249,134,9584,1577,1118,282,34,28,9,71,1177,51,88,38,88,8,736,108,31,29,54300,93100,1248.403846,1527.722756,58.98746082,75.48119122,0.491620221,0.488634629,0.652524699,0.465358323,0.820667759,0.08816088,0.480877497,71,0.94348277,0.494656714
594,University of Nebraska at Kearney,Kearney,50,73,25,59,58,78,61,45,619,70,4,12,10,0,5,18,16,15,6,8,10,3,8,44,18,15,18,30,3,27,164,72,17,8,Kearney,www.unk.edu,1,NE,1,32,2,1,21778,27202,1003,1508,835,1309,88,870,2970,2138,4608,500,12,57,124,605,4,5409,118,51,367,55,53,21,80,995,1,9,5,79,0,815,17,7,62,41900,76900,860,1070,57,75,0.176642712,0.486830074,0.345873215,0.456605494,0.769043812,0.119893209,0.493878512,129,0.727407366,0.479967506
904,Minot State University,Minot,53,74,45,50,60,53,69,44,616,77,4,7,5,0,0,1,8,7,4,1,4,3,3,12,0,1,1,4,16,96,66,74,6,7,Minot,www.minotstateu.edu,1,ND,1,33,2,1,17332,17332,404,436,223,254,87,276,1877,1193,2271,793,46,63,171,195,16,2266,125,69,403,40,37,14,75,554,12,10,17,21,3,383,14,14,80,44000,66500,865,1030,55,72,0.383781963,0.475334622,0.522290401,0.479273804,0.698996039,0.117786486,0.500014425,91,0.943219341,0.499869459
,University of California-Santa Cruz,Santa Cruz,68,56,36,48,63,68,54,61,625,56,42.56429652,80.27836611,259,54,90,148,349,425,32,15,112,61,120,328,185,381,115,180,36.87304075,182.1128527,151,117,81,34,Santa Cruz,www.ucsc.edu/,1,CA,1,13,2,1,35408,62090,20098,25434,9855,13042,81,3243,8524,7707,15502,729,21,3519,335,5239,38,6129,1265,371,951,75,73,50,88,4016,10,858,81,1156,9,1584,212,88,18,53500,103800,1560,1930,73,90,0.085798848,0.498763884,0.75400071,0.448876063,0.879851996,0.085283023,0.462557889,198,0.133636675,0.493143813
491,University of North Carolina at Asheville,Asheville,56,64,69,56,60,63,46,43,631,47,22,21,22,3,7,18,9,35,15,14,23,15,25,64,38,32,39,47,15,31,32,31,18,13,Asheville,https://www.unca.edu,1,NC,1,13,2,1,19323,35718,1251,2034,937,1642,70,438,2162,1696,3044,814,27,56,159,188,1,3114,140,146,60,61,60,37,79,763,4,8,20,30,1,644,15,36,5,40900,69400,1570,1860,67,84,0.333032936,0.492832876,0.353682713,0.466622511,0.901845628,0.080800438,0.455645349,158,0.484628407,0.471736773
22,Carnegie Mellon University,Pittsburgh,62,54,43,50,62,74,56,69,648,20,1,0,121,36,4,9,10,29,65,29,65,45,12,33,32,25,59,75,36.87304075,182.1128527,50,43,4,2,Pittsburgh,www.cmu.edu/,2,PA,1,11,2,1,67980,67980,12913,7634,2460,2413,52,773,2716,3333,5946,103,11,2195,386,620,3,3539,327,656,5226,90,88,74,98,1336,1,356,61,85,0,529,47,68,189,70900,126400,2030,2300,93,104,0.033480872,0.494879778,0.728585232,0.460438187,0.865198754,0.083264346,0.500003678,252,0.646252908,0.467017976
352,Duquesne University,Pittsburgh,62,54,43,50,62,74,56,69,648,20,25,52,37,16,3,6,38,108,15,10,12,5,16,55,26,26,20,13,67,382,227,153,9,4,Pittsburgh,www.duq.edu,2,PA,1,11,2,1,50422,50422,2534,4810,1965,3592,99,1322,3702,2259,5636,325,3,205,462,259,6,7509,249,146,565,76,76,66,85,1484,2,27,71,37,1,1243,35,18,50,49600,88800,1040,1210,68,83,0.103114315,0.470779192,0.354950091,0.459891725,0.780694294,0.117919617,0.500004958,218,0.060534976,0.452038564
391,University of Hartford,West Hartford,53,80,54,48,75,49,62,42,638,30,30,43,11,3,2,0,9,20,2,4,2,4,11,53,9,16,91,138,41,108,76,41,7,2,West Hartford,www.hartford.edu,2,CT,1,12,2,1,53130,53130,6427,8666,4043,5542,99,1190,2650,2596,4739,506,22,216,922,690,3,3884,170,451,554,62,61,51,74,1027,5,29,136,84,0,631,21,43,78,51000,97200,940,1160,20,25,0.174364892,0.50004234,0.64490729,0.451411855,0.810630529,0.041096963,0.500004705,174,-0.067628035,0.489028997
86,Rochester Institute of Technology,Rochester,59,73,53,63,63,77,69,47,695,1,12,17,341,54,6,33,63,83,20,8,36,12,7,40,21,10,149,185,15,75,157,86,18.00580552,12.00435414,Rochester,www.rit.edu/,2,NY,1,21,2,1,53094,53094,12826,5772,7213,3439,94,2519,4353,9189,12740,800,28,1045,700,986,2,9385,429,1444,2620,70,66,28,89,2483,6,124,120,143,2,1609,56,313,110,58400,98700,1640,1970,26,31,0.111194718,0.436268008,0.64034578,0.467100562,0.829071549,0.030613197,0.500004709,164,0.762671918,0.428093289
387,University of Wisconsin-La Crosse,La Crosse,59,61,14,55,44,86,66,59,612,85,30,64,22,4,6,35,107,164,16,12,45,15,29,126,70,72,10,22,36,184,229,151,6,6,La Crosse,www.uwlax.edu,1,WI,1,13,2,1,17330,25851,2328,3723,1752,3089,76,1518,5457,4249,9298,408,19,248,84,324,5,9325,234,7,244,69,67,35,85,1869,2,27,10,40,0,1701,29,2,58,46200,84600,1248.403846,1527.722756,73,88,0.080545981,0.492305688,0.207678042,0.456909478,0.847301998,0.103656775,0.480541138,171,0.649875465,0.473503813
749,Fayetteville State University,Fayetteville,66,52,44,57,73,66,39,44,607,99,14,18,14,4,0,6,6,34,2,4,1,6,22,105,16,38,13,8,7,150,48,87,7,6,Fayetteville,www.uncfsu.edu,1,NC,1,12,2,1,15981,27589,1418,2525,788,1593,97,456,3751,1755,3078,2428,177,109,3823,397,17,1211,35,320,15,34,32,12,79,954,27,14,516,78,0,270,7,40,2,37300,59700,1150,1360,52,66,0.493121301,0.434370828,0.560313515,0.473341047,0.828471122,0.085802569,0.46452036,78,0.511747742,0.460706365
169,Lehigh University,Bethlehem,51,56,55,41,57,62,59,61,609,94,3,20,65,28,1,8,30,73,7,10,16,15,7,55,15,28,5,12,0,2,186,153,2,5,Bethlehem,www.lehigh.edu,2,PA,1,13,2,1,63075,63075,7299,5544,2019,1886,60,780,2258,2817,5048,26,10,506,220,494,5,4231,140,307,1141,87,86,73,95,1229,1,100,37,105,0,839,35,22,90,65400,133900,1230,1420,29,32,0.010197821,0.494031079,0.601237558,0.44093635,0.745707757,0.044005494,0.500003964,246,0.673704883,0.490701553
614,University of Portland,Portland,53,70,34,57,51,77,53,74,646,23,14,33,29,3,2,7,26,67,7,10,13,12,8,29,16,16,1,9,24,189,99,70,2,8,Portland,https://www1.up.edu,2,OR,1,11,2,1,58980,58980,3863,7337,2375,4564,98,1065,2208,1562,3672,98,7,463,55,456,59,2659,330,125,184,76,75,70,92,914,1,104,5,87,6,617,52,20,22,55100,102100,1090,1300,47,57,0.050651377,0.485447878,0.598987366,0.455307722,0.815557801,0.079954426,0.500004239,221,-0.707777965,0.451934978
1257,Albany State University,Albany,51,65,49,40,57,70,51,74,632,46,13,15,6,2,1,1,7,33,7,4,0,4,5,30,11,35,4,4,2,28,46,83,0,6,Albany,https://www.asurams.edu/,1,GA,1,13,2,1,17398,27646,654,1542,413,986,97,416,1962,1029,2366,625,6,8,3096,54,2,219,26,64,17,46,42,16,78,546,0,1,489,10,0,29,3,11,3,38500,69600,840,950,51,57,0.330702252,0.451498979,0.209461541,0.458619582,0.806566607,0.107384906,0.474129926,104,0.450717592,0.418432354
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
710,Columbia College,Columbia,65,57,46,61,60,77,56,42,637,33,3,32,9,10,0,3,0,9,0,2,0,3,0,14,0,5,0,6,0,17,2,15,0,6,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,42170,42170,0,515,2628.170274,459,100,136,1069,319,688,698,10,10,508,55,1,813,44,11,32,43,42,32,76,258,0,4,93,9,1,134,10,1,6,48062.46377,87463.33333,840,1070,51,72,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
